sku,18K,14K,9K
C001302,22160,19860,17272
C001307,50010,45525,40177
C001308,50010,45525,40177
C001310,16180,14110,11637
C001311,16180,14110,11637
C001313,13017,11637,9970
C001314,13017,11637,9970
C001316,15030,13017,10602
C001317,15030,13017,10602
C001319,9280,8360,7210
C001320,9280,8360,7210
C001322,41500,36785,31265
C001323,41500,36785,31265
C001325,22505,20377,17847
C001326,22505,20377,17847
C001328,9740,8762,7670
C001329,9740,8762,7670
C001331,15317,13247,10775
C001332,15317,13247,10775
C001304,35232,31667,27412
C001305,35232,31667,27412
C001334,41615,37647,33047
C001335,41615,37647,33047
C001337,58635,56392,53805
C001338,58635,56392,53805
C001340,26435,24422,22965
C001341,26435,24422,22965
C001346,16295,14052,11407
C001347,16295,14052,11407
C001343,57945,53172,47595
C001344,57945,53172,47595
C001349,10315,9395,8245
C001350,10315,9395,8245
C001352,15950,15202,14225
C001353,15950,15202,14225
C001364,36900,34370,31437
C001365,36900,34370,31437
C001367,20320,18307,15950
C001368,20320,18307,15950
C001373,41155,38912,36325
C001374,41155,38912,36325
C001376,47652,44087,39775
C001377,47652,44087,39775
C001403,56507,54035,50987
C001404,56507,54035,50987
C001406,46790,44317,41270
C001407,46790,44317,41270
C001409,36842,34715,32185
C001410,36842,34715,32185
C001412,62890,60302,57312
C001413,62890,60302,57312
C001415,108717,104692,99977
C001416,108717,104692,99977
C001418,69962,67260,64097
C001419,69962,67260,64097
C001421,14167,12960,11637
C001422,14167,12960,11637
C001424,29655,27642,25285
C001425,29655,27642,25285
C001427,46732,44432,41672
C001428,46732,44432,41672
C001430,47882,45065,41730
C001431,47882,45065,41730
C001433,55530,50297,44030
C001434,55530,50297,44030
C001436,23942,21872,19400
C001437,23942,21872,19400
C001439,42822,39947,36555
C001442,31897,27527,23195
C001443,31897,27527,23195
C001445,65075,63522,61682
C001446,65075,63522,61682
C001466,38855,36900,34542
C001467,38855,36900,34542
C001469,37935,35060,31667
C001470,37935,35060,31667
C001472,13477,12097,10430
C001473,13477,12097,10430
C001475,24250,23425,21355
C001476,24250,23425,21355
C001478,26377,24192,22447
C001479,26377,24192,22447
C001511,30345,28390,26147
C001512,30345,28390,26147
C001523,42477,39372,35750
C001524,42477,39372,35750
C001529,15662,14915,14052
C001530,15662,14915,14052
C001394,61107,58405,55300
C001395,61107,58405,55300
C001379,25342,23367,19917
C001380,25342,23367,19917
C001382,35117,30402,24882
C001383,35117,30402,24882
C001385,29942,26205,22620
C001386,29942,26205,22620
C001388,35692,31667,26895
C001389,35692,31667,26895
C001391,27355,24135,21125
C001392,27355,24135,21125
C001397,35117,30402,24882
C001398,35117,30402,24882
C001400,28447,25170,22217
C001401,28447,25170,22217
C001496,25687,23732,22447
C001497,25687,23732,22447
C001499,22907,21010,18825
C001500,22907,21010,18825
C001502,55702,52770,49320
C001503,55702,52770,49320
C001505,35462,32587,29310
C001506,35462,32587,29310
C001508,45122,40177,34312
C001509,45122,40177,34312
C001532,48285,44720,40580
C001533,48285,44720,40580
C001535,40292,36900,32875
C001536,40292,36900,32875
C001493,32990,28965,24192
C001494,32990,28965,24192
C001568,42822,38567,33565
C001569,42822,38567,33565
C001613,36152,33852,31035
C001614,36152,33852,31035
C001610,34887,31782,28102
C001611,34887,31782,28102
C001538,31092,27182,23597
C001539,31092,27182,23597
C001541,46445,41787,36440
C001542,46445,41787,36440
C001544,26665,24307,22447
C001545,26665,24307,22447
C001550,49550,45065,39832
C001551,49550,45065,39832
C001553,37820,33335,28160
C001554,37820,33335,28160
C001556,50930,46330,40925
C001557,50930,46330,40925
C001562,45927,40637,34427
C001563,45927,40637,34427
