C000270,45,19866,18186,16206,,,,
C000271,0,27096,24486,21396,,,,
C000272,46,16416,14766,12816,,,,
C000273,0,16416,14766,12816,,,,
C000274,0,23706,21096,18036,,,,
C000275,0,23706,21726,19386,,,,
C000276,0,23706,21726,19386,,,,
C000277,0,34266,30846,26796,,,,
C000278,0,83346,81486,79296,,,,
C000279,0,83346,81486,79296,,,,
C000280,0,91146,88296,84936,,,,
C000281,0,78036,75966,73476,,,,
C000282,0,78036,75966,73476,,,,
C000283,0,88956,85356,81156,,,,
C000284,0,82266,80616,78666,,,,
C000285,0,82266,80616,78666,,,,
C000286,0,89226,86676,83676,,,,
C000287,0,69126,67566,65736,,,,
C000288,0,69126,67566,65736,,,,
C000289,0,75036,72756,70056,,,,
C000290,0,129036,126966,124566,,,,
C000291,0,129036,126966,124566,,,,
C000292,0,139536,136026,131916,,,,
C000293,0,89616,87396,84786,,,,
C000294,0,89616,87396,84786,,,,
C000295,0,101136,97356,92886,,,,
C000296,0,132996,130926,128496,,,,
C000297,0,132996,130926,128496,,,,
C000298,0,141486,138336,134616,,,,
C000299,0,82176,80526,78606,,,,
C000300,0,82176,80526,78606,,,,
C000301,0,89046,86526,83556,,,,
C000302,0,94566,92616,90336,,,,
C000303,0,94566,92616,90336,,,,
C000304,0,102726,99726,96216,,,,
C000305,0,121806,119856,117576,,,,
C000306,0,121806,119856,117576,,,,
C000307,0,129846,126876,123366,,,,
C000308,55,7206,6096,5316,,,,
C000309,55,7206,6096,5316,,,,
C000310,0,7806,6096,5916,,,,
C000311,56,7206,6096,5316,,,,
C000312,56,7206,6096,5316,,,,
C000313,0,7806,6096,5916,,,,
C000314,57,7206,6096,5316,,,,
C000315,57,7206,6096,5316,,,,
C000316,0,7806,6096,5916,,,,
C000317,58,7206,6096,5316,,,,
C000318,58,7206,6096,5316,,,,
C000319,0,7806,6096,5916,,,,
C000320,59,7206,6096,5316,,,,
C000321,59,7206,6096,5316,,,,
C000322,0,7806,6096,5916,,,,
C000323,60,7206,6096,5316,,,,
C000324,60,7206,6096,5316,,,,
C000325,0,7806,6096,5916,,,,
C000326,61,7206,6096,5316,,,,
C000327,61,7206,6096,5316,,,,
