sku,18k,14k,9k
C000525,36000,33500,30550
C000526,47350,43350,38550
C000527,19600,18400,17050
C000528,19600,18400,17050
C000529,25500,23500,21100
C000530,12000,11200,10200
C000531,12000,11200,10200
C000532,16200,14800,13100
C000533,48750,45400,41500
C000534,48750,45400,41500
C000535,63900,58500,52150
C000536,64850,61950,58550
C000537,64850,61950,58550
C000538,78150,73400,67850
C000539,58150,55600,52650
C000540,58150,55600,52650
C000541,69500,65400,60700
C000542,59400,56900,53950
C000543,59400,56900,53950
C000544,70800,66700,61950
C000545,63000,59650,55750
C000546,63000,59650,55750
C000547,78150,72750,66450
C000548,47100,44250,40850
C000549,47100,44250,40850
C000550,60400,55700,50200
C000551,83800,80150,75850
C000552,83800,80150,75850
C000553,100500,94550,87550
C000554,110700,106700,102000
C000555,110700,106700,102000
C000556,130850,124050,116100
C000557,111450,107650,103100
C000558,111450,107650,103100
C000559,128550,122400,115200
C000560,82900,79550,75600
C000561,82900,79550,75600
C000562,98100,92650,86250
C000563,66950,63200,58800
C000564,66950,63200,58800
C000565,84000,77900,70850
C000566,68250,64500,60100
C000567,68250,64500,60100
C000568,85300,79250,72100
C000569,66050,62700,58800
C000570,66050,62700,58800
C000571,81200,75800,69500
C000572,64700,60950,56550
C000573,64700,60950,56550
C000574,81750,75700,68550
C000575,57750,54450,50500
C000576,57750,54450,50500
C000577,72900,67500,61200
C000578,31000,28950,26600
C000579,31000,28950,26600
C000580,41850,38300,34100
C000581,58300,55000,51100
C000582,58300,55000,51100
C000583,73450,68100,61750
C000584,37550,35000,32150
C000585,37550,35000,32150
C000586,48850,44850,40100
C000587,68900,65200,60750
C000588,68900,65200,60750
C000589,85950,79900,72800
C000590,65100,61800,57900
C000591,65100,61800,57900
C000592,80250,74850,68550
C000593,41600,39550,37100
C000594,41600,39550,37100
C000595,52100,48500,44250
C000596,43700,41650,39100
C000597,43700,41650,39100
C000598,54200,50600,46350
C000599,184050,181750,179100
C000600,184050,181750,179100
C000601,194650,190850,186450
C000602,122950,120500,117650
C000603,122950,120500,117650
C000604,134250,130200,125450
C000605,20350,18300,15900
C000606,20350,18300,15900
C000607,30850,27300,23100
C000608,33500,29700,25200
C000609,33500,29700,25200
C000610,51400,45150,37750
C000611,35850,32550,28700
C000612,35850,32550,28700
C000613,51000,45650,39350
C000614,60250,56350,51750
C000615,60250,56350,51750
C000616,77350,71200,63900
C000617,42100,37550,32250
C000618,42100,37550,32250
C000619,64400,56800,47800
C000620,32400,29150,25400
C000621,32400,29150,25400
C000622,46100,41100,35150
C000623,14300,13150,11850
C000624,14300,13150,11850
C000625,19750,17850,15650
C000626,17900,16550,14900
C000627,17900,16550,14900
C000628,25000,22600,19800
C000629,29350,26000,21950
C000630,29350,26000,21950
C000631,44700,39250,32800
C000632,26150,22650,18550
C000633,26150,22650,18550
C000634,41650,36000,29500
C000635,33050,28650,23500
C000636,33050,28650,23500
C000637,54700,47300,38600
C000638,29000,27100,24900
C000639,29000,27100,24900
C000640,38650,35350,31500
C000641,41950,37550,32300
C000642,41950,37550,32300
C000643,63950,56450,47600
C000644,46200,43100,39450
C000645,46200,43100,39450
C000646,58050,53400,47950
C000647,47250,43500,39100
C000648,47250,43500,39100
C000649,63450,57550,50550
C000650,40550,36400,31450
C000651,40550,36400,31450
C000652,61900,54750,46300
C000653,31050,27000,22250
C000654,31050,27000,22250
C000655,51450,44600,36450
C000656,50550,46350,41450
C000657,50550,46350,41450
C000658,71950,64750,56300
C000659,52200,48550,44250
C000660,52200,48550,44250
C000661,68200,62350,55550
C000662,28600,25700,22300
C000663,28600,25700,22300
C000664,41600,36900,31400
C000665,59400,55350,50600
C000666,59400,55350,50600
C000667,79350,72550,64550
C000668,26400,23900,20950
C000669,26400,23900,20950
C000670,34550,30950,26750
C000671,23500,21550,19250
C000672,23500,21550,19250
C000673,32000,28900,25150
C000674,26400,23900,20950
C000675,26400,23900,20950
C000676,34550,30950,26750
C000677,23850,21850,19450
C000678,23850,21850,19450
C000679,32850,29550,25650
C000680,21950,20250,18300
C000681,21950,20250,18300
C000682,29050,26400,23250
C000683,21500,19900,18050
C000684,21500,19900,18050
C000685,27350,24950,22150
C000686,26400,24200,21700
C000687,26400,24200,21700
C000688,36750,33150,28850
C000689,9800,8250,6250
C000690,9800,8250,6250
C000691,10900,9300,7350
C000692,9800,8250,6250
C000693,9800,8250,6250
C000694,10900,9300,7350
C000695,9800,8250,6250
C000696,9800,8250,6250
C000697,10900,9300,7350
C000698,9800,8250,6250
C000699,9800,8250,6250
C000700,10900,9300,7350
C000701,9800,8250,6250
C000702,9800,8250,6250
C000703,10900,9300,7350
C000704,9800,8250,6250
C000705,9800,8250,6250
C000706,10900,9300,7350
C000707,9800,8250,6250
C000708,9800,8250,6250
C000709,10900,9300,7350
C000710,9800,8250,6250
C000711,9800,8250,6250
C000712,10900,9300,7350
C000713,9800,8250,6250
C000714,9800,8250,6250
C000715,10900,9300,7350
C000716,9800,8250,6250
C000717,9800,8250,6250
C000718,10900,9300,7350
C000719,9800,8250,6250
C000720,9800,8250,6250
C000721,10900,9300,7350
C000722,9800,8250,6250
C000723,9800,8250,6250
C000724,10900,9300,7350
C000725,9800,8250,6250
C000726,9800,8250,6250
C000727,10900,9300,7350
C000728,9800,8250,6250
C000729,9800,8250,6250
C000730,10900,9300,7350
C000731,9800,8250,6250
C000732,9800,8250,6250
C000733,10900,9300,7350
C000734,9800,8250,6250
C000735,9800,8250,6250
C000736,10900,9300,7350
C000737,9800,8250,6250
C000738,9800,8250,6250
C000739,10900,9300,7350
C000740,9800,8250,6250
C000741,9800,8250,6250
C000742,10900,9300,7350
C000743,9800,8250,6250
C000744,9800,8250,6250
C000745,10900,9300,7350
C000746,9800,8250,6250
C000747,9800,8250,6250
C000748,10900,9300,7350
C000749,9800,8250,6250
C000750,9800,8250,6250
C000751,10900,9300,7350
C000752,9800,8250,6250
C000753,9800,8250,6250
C000754,10900,9300,7350
C000755,9800,8250,6250
C000756,9800,8250,6250
C000757,10900,9300,7350
C000758,9800,8250,6250
C000759,9800,8250,6250
C000760,10900,9300,7350
C000761,9800,8250,6250
C000762,9800,8250,6250
C000763,10900,9300,7350
C000764,9800,8250,6250
C000765,9800,8250,6250
C000766,10900,9300,7350
C000767,9800,8250,6250
C000768,9800,8250,6250
C000769,10900,9300,7350
C000770,9800,8250,6250
C000771,9800,8250,6250
C000772,10900,9300,7350
C000773,88150,83550,78100
C000774,88150,83550,78100
C000775,115350,106850,96850
C000776,168050,159450,149300
C000777,168050,159450,149300
C000778,211700,197000,179650
C000779,23400,21100,18400
C000780,23400,21100,18400
C000781,34000,30200,25800
C000782,27900,25450,22600
C000783,27900,25450,22600
C000784,39200,35150,30400
C000785,30150,28050,25500
C000786,30150,28050,25500
C000787,40150,36600,32400
C000788,50800,43850,35600
C000789,50800,43850,35600
C000790,87050,74950,60750
C000791,19900,17950,15600
C000792,19900,17950,15600
C000793,30000,26550,22550
C000794,48750,45400,41450
C000795,48750,45400,41450
C000796,63900,58500,52150
C000797,195750,193150,190100
C000798,195750,193150,190100
C000799,207200,203050,198150
C000800,194900,192450,189550
C000801,199250,196000,192150
C000802,205550,201650,197100
C000803,27000,24350,21300
C000804,27000,24350,21300
C000805,38400,34250,29350
C000806,46550,43600,40100
C000807,46550,43600,40100
C000808,59800,55050,49500
C000809,53150,47400,40650
C000810,53150,47400,40650
C000811,82850,73000,61350
C000812,56050,51550,46350
C000813,56050,51550,46350
C000814,79000,71350,62300
C000815,78050,73450,68000
C000816,78050,73450,68000
C000817,101650,93700,84400
C000818,43100,40150,36750
C000819,43100,40150,36750
C000820,56400,51650,46100
C000821,45350,42600,39300
C000822,45350,42600,39300
C000823,57900,53400,48150
C000824,74550,68450,61300
C000825,74550,68450,61300
C000826,105900,95400,83100
C000827,63400,57500,50600
C000828,63400,57500,50600
C000829,93950,83750,71750
C000830,11950,11000,9950
C000831,11950,11000,9950
C000832,16550,14950,13100
C000833,12650,11850,10850
C000834,12650,11850,10850
C000835,16850,15400,13750
C000836,13400,11800,9850
C000837,13400,11800,9850
C000838,21800,18950,15650
C000839,17500,15450,13050
C000840,17500,15450,13050
C000841,28000,24450,20250
C000842,43350,38750,33300
C000843,43350,38750,33300
C000844,67500,59450,50050
C000845,23500,20950,17950
C000846,23500,20950,17950
C000847,35250,31100,26200
C000848,28600,26000,23050
C000849,28600,26000,23050
C000850,40300,36200,31250
C000851,20250,18600,16650
C000852,20250,18600,16650
C000853,28650,25800,22400
C000854,192500,188450,183650
C000855,192500,188450,183650
C000856,212700,205850,197750
C000857,35850,33250,30250
C000858,35850,33250,30250
C000859,47550,43400,38500
C000860,187850,186700,185400
C000861,187850,186700,185400
C000862,193050,191200,188950
C000863,38900,35150,30650
C000864,38900,35150,30650
C000865,56300,50150,42900
C000866,47900,44600,40600
C000867,47900,44600,40600
C000868,63100,57700,51300
C000869,31600,28300,24450
C000870,31600,28300,24450
C000871,46750,41400,35100
C000872,42950,40350,37250
C000873,42950,40350,37250
C000874,54650,50450,45500
C000875,20700,18950,16900
C000876,20700,18950,16900
C000877,29450,26500,22950
C000878,10600,9750,8800
C000879,10600,9750,8800
C000880,14800,13300,11700
C000881,25100,22500,19450
C000882,25100,22500,19450
C000883,36550,32400,27500
C000884,24250,21800,18900
C000885,24250,21800,18900
C000886,34900,31050,26450
C000887,11550,9950,8000
C000888,11550,9950,8000
C000889,19950,17100,13800
C000890,58950,54950,50150
C000891,58950,54950,50150
C000892,79200,72350,64200
C000893,25000,22400,19400
C000894,25000,22400,19400
C000895,36700,32550,27650
C000896,28850,25950,22600
C000897,28850,25950,22600
C000898,42100,37450,31900
C000899,12800,11250,9250
C000900,12800,11250,9250
C000901,13900,12300,10350
C000902,26700,24150,21300
C000903,26700,24150,21300
C000904,38000,34000,29300
C000905,25900,22200,17900
C000906,25900,22200,17900
C000907,42900,36900,29850
C000908,25600,22300,18450
C000909,25600,22300,18450
C000910,40700,35350,29100
C000911,30050,26250,21700
C000912,30050,26250,21700
