sku,22k,18k,14k,9k
C004044,,312472,305227,300991
C004046,,51045,46398,42200
C004047,,51045,46398,42200
C004049,,39664,34240,31167
C004050,,39664,34240,31167
C004052,,52319,45317,41186
C004053,,52319,45317,41186
C004055,,58893,53469,50396
C004056,,58893,53469,50396
C004058,,70767,67127,64796
C004059,,70767,67127,64796
C004061,,61900,56439,52943
C004062,,61900,56439,52943
C004064,,38373,35302,33184
C004065,,38373,35302,33184
C004067,,68049,60925,56741
C004068,,68049,60925,56741
C004070,,95687,91408,88792
C004071,,95687,91408,88792
C004073,,60881,54934,51227
C004074,,60881,54934,51227
C004076,,39681,35069,32316
C004077,,39681,35069,32316
C004079,,24869,21228,18898
C004080,,24869,21228,18898
C004082,,37099,33459,31128
C004083,,37099,33459,31128
C004085,,41499,36253,33247
C004086,,41499,36253,33247
C004088,,87261,77952,68460
C004089,,87261,77952,68460
C004091,,49805,43374,39455
C004092,,49805,43374,39455
C004094,,68338,61579,57553
C004095,,68338,61579,57553
C004097,,83422,76711,71243
C004098,,83422,76711,71243
C004100,,37031,32905,30364
C004101,,37031,32905,30364
C004103,,28266,23654,20901
C004104,,28266,23654,20901
C004106,,43045,39161,36725
C004107,,43045,39161,36725
C004109,,39121,33697,30624
C004110,,39121,33697,30624
C004112,,54307,49659,45462
C004113,,54307,49659,45462
C004115,,31086,27203,24767
C004116,,31086,27203,24767
C004118,,46068,40121,36415
C004119,,46068,40121,36415
C004121,,75659,68401,62046
C004122,,75659,68401,62046
C004124,,65637,59690,55983
C004125,,65637,59690,55983
C004127,,52812,46501,42635
C004128,,52812,46501,42635
C004130,,38492,32815,29204
C004131,,38492,32815,29204
C004133,,41227,36336,32034
C004134,,41227,36336,32034
C004136,,39189,33938,29509
C004137,,39189,33938,29509
C004139,,68389,62175,55329
C004140,,68389,62175,55329
C004142,,97097,83648,70979
C004143,,97097,83648,70979
C004145,,35078,28609,23248
C004146,,35078,28609,23248
C004148,,42076,35433,31429
C004149,,42076,35433,31429
C004151,,83507,76468,68669
C004152,,83507,76468,68669
C004154,,64312,56303,51324
C004155,,64312,56303,51324
C004157,,41771,36880,32577
C004158,,41771,36880,32577
C004160,,87669,79986,71871
C004161,,87669,79986,71871
C004163,,51470,45280,41468
C004164,,51470,45280,41468
C004166,,37422,32531,28229
C004167,,37422,32531,28229
C004169,,59963,51954,46975
C004170,,59963,51954,46975
C004172,,57415,50984,47065
C004173,,57415,50984,47065
C004175,,59080,52890,49078
C004176,,59080,52890,49078
C004178,,67760,56340,45258
C004179,,67760,56340,45258
C004181,,160050,155501,152789
C004182,,160050,155501,152789
C004184,,95653,92581,90463
C004185,,95653,92581,90463
C004187,,41720,35773,32066
C004188,,41720,35773,32066
C004190,,42824,37690,33282
C004191,,42824,37690,33282
C004193,,46068,40121,36415
C004194,,46068,40121,36415
C004196,,54765,48818,45112
C004197,,54765,48818,45112
C004199,,56362,50172,46360
C004200,,56362,50172,46360
C004202,,56685,47862,42567
C004203,,56685,47862,42567
C004205,,59148,52934,46089
C004206,,59148,52934,46089
C004208,,58027,52080,48373
C004209,,58027,52080,48373
C004211,,26228,22587,20257
C004212,,26228,22587,20257
C004214,,33107,28460,24262
C004215,,33107,28460,24262
C004217,,63310,56452,49291
C004218,,63310,56452,49291
C004220,,24138,20777,18976
C004221,,24138,20777,18976
C004223,,43860,37670,33858
C004224,,43860,37670,33858
C004226,,88705,80210,75021
C004227,,88705,80210,75021
C004229,,29506,26678,23647
C004230,,29506,26678,23647
C004232,,40106,35256,32428
C004233,,40106,35256,32428
C004235,,45304,39722,36173
C004236,,45304,39722,36173
C004238,,33226,29100,26559
C004239,,33226,29100,26559
C004241,,73859,67861,61132
C004242,,73859,67861,61132
C004244,,38407,31405,27274
C004245,,38407,31405,27274
C004247,,17140,14264,12676
C004248,,17140,14264,12676
C004250,,48226,41466,37441
C004251,,48226,41466,37441
C004253,,97097,83648,70979
C004254,,97097,83648,70979
C004256,,52234,45681,41709
C004257,,52234,45681,41709
C004259,,39919,32394,26610
C004260,,39919,32394,26610
C004262,,35231,29526,25925
C004263,,35231,29526,25925
C004265,,55105,47339,41448
C004266,,55105,47339,41448
C004268,,32020,27373,23175
C004269,,32020,27373,23175
C004271,,41040,35737,32718
C004272,,41040,35737,32718
C004274,,30491,25552,22693
C004275,,30491,25552,22693
C004277,,53967,45144,39849
C004278,,53967,45144,39849
C004280,,39596,34706,30403
C004281,,39596,34706,30403
C004283,,24563,20680,18244
C004284,,24563,20680,18244
C004286,,23951,19582,16934
C004287,,23951,19582,16934
C004289,,24036,20965,18847
C004290,,24036,20965,18847
C004292,,22406,19334,17216
C004293,,22406,19334,17216
C004295,,31137,26978,24415
C004296,,31137,26978,24415
C004298,,20282,16885,14660
C004299,,20282,16885,14660
C004301,,25344,20527,17719
C004302,,25344,20527,17719
C004304,,25429,20296,15888
C004305,,25429,20296,15888
