SKU,Design no,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
GE00166,cner987,15162,10758,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00167,cner1024,17689,12551,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00168,cner1024,17689,12551,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00169,cner1025,19827,14068,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00170,cner1025,19827,14068,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00171,cner1029,14190,10068,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00172,cner1029,14190,10068,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00173,cner1030,47818,33928,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00174,cner1030,47818,33928,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00175,cner1031,75420,53513,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00176,cner1031,75420,53513,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00177,cner1033,48206,34204,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00178,cner1033,48206,34204,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00179,cner1043,83584,59306,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00180,cner1043,83584,59306,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00181,cner1044,64146,45514,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00182,cner1044,64146,45514,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00183,cner1045,69783,49513,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00184,cner1045,69783,49513,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00185,cner1046,54621,38756,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00186,cner1046,54621,38756,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00187,cner1047,33744,23943,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00188,cner1047,33744,23943,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00189,cner1048,44980,31915,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00190,cner1048,44980,31915,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00191,cner1049,8358,5931,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00192,cner1049,8358,5931,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00193,cner1050,25658,18205,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00194,cner1050,25658,18205,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00195,cner1051,16134,11447,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00196,cner1051,16134,11447,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00197,cner1052,9719,6896,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00198,cner1052,9719,6896,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00199,cner1053,25075,17792,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00200,cner1053,25075,17792,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00201,cner1056,13607,9654,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00202,cner1056,13607,9654,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00203,cner1057 ,14384,10206,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00204,cner1057 ,14384,10206,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00205,cner1064,10885,7724,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00206,cner1064,10885,7724,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00207,cner1065,16328,11585,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00208,cner1065,16328,11585,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00209,cner1059,26047,18481,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00210,cner1059,26047,18481,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00211,cner1060,56370,39997,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00212,cner1060,56370,39997,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00213,cner1061,13607,9654,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00214,cner1061,13607,9654,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00215,cner1062,7775,5517,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00216,cner1062,7775,5517,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00217,cner1054,19283,13682,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00218,cner1054,19283,13682,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00219,cner1070,13568,9627,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00220,cner1070,13568,9627,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00221,cner1074,20565,14592,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00222,cner1074,20565,14592,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00223,cner1066,46651,33101,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00224,cner1066,46651,33101,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00225,cner1067,22937,16275,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00226,cner1067,22937,16275,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00227,cner1068,38876,27584,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00228,cner1068,38876,27584,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00229,cner1069,33045,23446,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00230,cner1069,33045,23446,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00231,cner1071,27213,19309,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00232,cner1071,27213,19309,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00233,cner1072,29546,20964,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00234,cner1072,29546,20964,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00235,cner1075,16717,11861,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00236,cner1075,16717,11861,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00237,cner1093,63757,45238,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00238,cner1093,63757,45238,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00239,cner1094,15939,11309,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE00240,cner1094,15939,11309,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00001,cnda001,96387,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00002,cnda002,89961,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00003,cnda003,96387,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00004,cnda004,96387,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00005,cnda005,128516,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00006,cnda006,112452,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00007,cnda007,96387,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00008,cnda008,112452,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00009,cnda009,125303,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00010,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00011,cnda011,112452,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00012,cnda012,112452,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00013,cnda013,112452,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00014,cnda014,112452,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00015,cnda015,122090,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00016,cnda020,70684,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00017,cnda021,51406,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00018,Cnda022,237144,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00019,Cnda022,237144,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00020,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00021,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00022,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00023,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00024,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00025,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00026,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00027,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00028,cnda010,102827,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD00029,cnda010,102827,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00001,cnnk030,52094,36963,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00002,cnnk028,61813,43859,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00003,cnnk025,53843,38204,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00004,cnnk027,76197,54065,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00005,cnnk023,87471,62064,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00006,cnnk020,53649,38066,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
